,dhlabid,urn,title,city,timestamp,year,doctype,word,count,positive,negative,sentimentscore,url
3633,200484079,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060208_132_33_1,faedrelandsvennen,Kristiansand,20060208,2006,digavis,biblioteket,1,0,0,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060208_132_33_1?searchText=biblioteket
3634,200484079,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060208_132_33_1,faedrelandsvennen,Kristiansand,20060208,2006,digavis,biblioteket,1,1,1,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060208_132_33_1?searchText=biblioteket
3635,200484084,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060214_132_38_1,faedrelandsvennen,Kristiansand,20060214,2006,digavis,biblioteket,1,0,0,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060214_132_38_1?searchText=biblioteket
3636,200484086,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060216_132_40_1,faedrelandsvennen,Kristiansand,20060216,2006,digavis,biblioteket,1,3,2,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060216_132_40_1?searchText=biblioteket
3637,200484086,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060216_132_40_1,faedrelandsvennen,Kristiansand,20060216,2006,digavis,biblioteket,1,1,0,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060216_132_40_1?searchText=biblioteket
3638,200484087,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060217_132_41_1,faedrelandsvennen,Kristiansand,20060217,2006,digavis,biblioteket,1,1,2,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060217_132_41_1?searchText=biblioteket
3639,200484087,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060217_132_41_1,faedrelandsvennen,Kristiansand,20060217,2006,digavis,biblioteket,1,0,0,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060217_132_41_1?searchText=biblioteket
3640,200484088,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060218_132_42_1,faedrelandsvennen,Kristiansand,20060218,2006,digavis,biblioteket,1,0,0,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060218_132_42_1?searchText=biblioteket
3641,200484088,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060218_132_42_1,faedrelandsvennen,Kristiansand,20060218,2006,digavis,biblioteket,1,0,0,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060218_132_42_1?searchText=biblioteket
3642,200484088,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060218_132_42_1,faedrelandsvennen,Kristiansand,20060218,2006,digavis,biblioteket,1,2,0,2,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060218_132_42_1?searchText=biblioteket
3643,200484089,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060220_132_43_1,faedrelandsvennen,Kristiansand,20060220,2006,digavis,biblioteket,1,2,0,2,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060220_132_43_1?searchText=biblioteket
3644,200484089,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060220_132_43_1,faedrelandsvennen,Kristiansand,20060220,2006,digavis,biblioteket,1,1,2,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060220_132_43_1?searchText=biblioteket
3645,200484090,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060221_132_44_1,faedrelandsvennen,Kristiansand,20060221,2006,digavis,biblioteket,1,0,0,0,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060221_132_44_1?searchText=biblioteket
3646,200484090,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060221_132_44_1,faedrelandsvennen,Kristiansand,20060221,2006,digavis,biblioteket,1,1,0,1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060221_132_44_1?searchText=biblioteket
3647,200484092,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060223_132_46_1,faedrelandsvennen,Kristiansand,20060223,2006,digavis,biblioteket,2,4,2,2,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060223_132_46_1?searchText=biblioteket
3648,200484092,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060223_132_46_1,faedrelandsvennen,Kristiansand,20060223,2006,digavis,biblioteket,2,1,2,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060223_132_46_1?searchText=biblioteket
3649,200484092,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060223_132_46_1,faedrelandsvennen,Kristiansand,20060223,2006,digavis,biblioteket,2,2,0,2,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060223_132_46_1?searchText=biblioteket
3650,200484099,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060303_132_53_1,faedrelandsvennen,Kristiansand,20060303,2006,digavis,biblioteket,1,2,0,2,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060303_132_53_1?searchText=biblioteket
3651,200484099,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060303_132_53_1,faedrelandsvennen,Kristiansand,20060303,2006,digavis,biblioteket,1,1,2,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060303_132_53_1?searchText=biblioteket
3652,200484100,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060304_132_54_1,faedrelandsvennen,Kristiansand,20060304,2006,digavis,biblioteket,1,1,2,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060304_132_54_1?searchText=biblioteket
3653,200484105,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060310_132_59_1,faedrelandsvennen,Kristiansand,20060310,2006,digavis,biblioteket,2,1,2,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060310_132_59_1?searchText=biblioteket
3654,200484105,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060310_132_59_1,faedrelandsvennen,Kristiansand,20060310,2006,digavis,biblioteket,2,0,1,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060310_132_59_1?searchText=biblioteket
3655,200484108,URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060314_132_62_1,faedrelandsvennen,Kristiansand,20060314,2006,digavis,biblioteket,1,1,2,-1,https://www.nb.no/items/URN:NBN:no-nb_digavis_faedrelandsvennen_null_null_20060314_132_62_1?searchText=biblioteket
