,dhlabid,urn,title,city,timestamp,year,doctype,word,count,positive,negative,sentimentscore
110,200272188,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110824_13_34_1,budstikkasoegne,Kristiansand,20110824,2011,digavis,biblioteket,3,5,3,2
111,200272189,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110831_13_35_1,budstikkasoegne,Kristiansand,20110831,2011,digavis,biblioteket,3,2,1,1
112,200272190,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110907_13_36_1,budstikkasoegne,Kristiansand,20110907,2011,digavis,biblioteket,8,12,5,7
113,200272191,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110914_13_37_1,budstikkasoegne,Kristiansand,20110914,2011,digavis,biblioteket,5,5,1,4
114,200272192,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110921_13_38_1,budstikkasoegne,Kristiansand,20110921,2011,digavis,biblioteket,6,4,3,1
115,200272193,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20110928_13_39_1,budstikkasoegne,Kristiansand,20110928,2011,digavis,biblioteket,4,4,2,2
116,200272194,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111005_13_40_1,budstikkasoegne,Kristiansand,20111005,2011,digavis,biblioteket,2,2,2,0
117,200272195,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111012_13_41_1,budstikkasoegne,Kristiansand,20111012,2011,digavis,biblioteket,2,2,2,0
118,200272196,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111019_13_42_1,budstikkasoegne,Kristiansand,20111019,2011,digavis,biblioteket,3,2,5,-3
119,200272197,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111026_13_43_1,budstikkasoegne,Kristiansand,20111026,2011,digavis,biblioteket,3,3,2,1
120,200272198,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111102_13_44_1,budstikkasoegne,Kristiansand,20111102,2011,digavis,biblioteket,2,2,3,-1
121,200272199,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111109_13_45_1,budstikkasoegne,Kristiansand,20111109,2011,digavis,biblioteket,4,3,4,-1
122,200272200,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111116_13_46_1,budstikkasoegne,Kristiansand,20111116,2011,digavis,biblioteket,2,4,2,2
123,200272201,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111123_13_47_1,budstikkasoegne,Kristiansand,20111123,2011,digavis,biblioteket,3,2,2,0
124,200272202,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111130_13_48_1,budstikkasoegne,Kristiansand,20111130,2011,digavis,biblioteket,2,3,2,1
125,200272203,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111207_13_49_1,budstikkasoegne,Kristiansand,20111207,2011,digavis,biblioteket,3,3,2,1
126,200272204,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111214_13_50_1,budstikkasoegne,Kristiansand,20111214,2011,digavis,biblioteket,2,3,3,0
127,200272205,URN:NBN:no-nb_digavis_budstikkasoegne_null_null_20111221_13_51_1,budstikkasoegne,Kristiansand,20111221,2011,digavis,biblioteket,1,2,1,1
128,200881788,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100204_4_5_1,kristiansandavis,Kristiansand,20100204,2010,digavis,biblioteket,1,1,1,0
129,200881796,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100401_4_13_1,kristiansandavis,Kristiansand,20100401,2010,digavis,biblioteket,1,1,2,-1
130,200881798,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100415_4_15_1,kristiansandavis,Kristiansand,20100415,2010,digavis,biblioteket,2,2,2,0
131,200881799,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100422_4_16_1,kristiansandavis,Kristiansand,20100422,2010,digavis,biblioteket,2,2,3,-1
132,200881801,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100506_4_18_1,kristiansandavis,Kristiansand,20100506,2010,digavis,biblioteket,1,1,0,1
133,200881803,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100520_4_20_1,kristiansandavis,Kristiansand,20100520,2010,digavis,biblioteket,9,4,6,-2
134,200881804,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100527_4_21_1,kristiansandavis,Kristiansand,20100527,2010,digavis,biblioteket,1,2,2,0
135,200881805,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100603_4_22_1,kristiansandavis,Kristiansand,20100603,2010,digavis,biblioteket,1,0,1,-1
136,200881806,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100610_4_23_1,kristiansandavis,Kristiansand,20100610,2010,digavis,biblioteket,1,0,0,0
137,200881812,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100722_4_29_1,kristiansandavis,Kristiansand,20100722,2010,digavis,biblioteket,5,2,9,-7
138,200881819,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100916_4_37_1,kristiansandavis,Kristiansand,20100916,2010,digavis,biblioteket,1,1,0,1
139,200881820,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100923_4_38_1,kristiansandavis,Kristiansand,20100923,2010,digavis,biblioteket,2,1,1,0
140,200881821,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20100930_4_39_1,kristiansandavis,Kristiansand,20100930,2010,digavis,biblioteket,2,2,0,2
141,200881827,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20101111_4_45_1,kristiansandavis,Kristiansand,20101111,2010,digavis,biblioteket,13,10,7,3
142,200881828,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20101118_4_46_1,kristiansandavis,Kristiansand,20101118,2010,digavis,biblioteket,1,0,0,0
143,200881829,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20101125_4_47_1,kristiansandavis,Kristiansand,20101125,2010,digavis,biblioteket,2,2,1,1
144,200881836,URN:NBN:no-nb_digavis_kristiansandavis_null_null_20110120_5_3_1,kristiansandavis,Kristiansand,20110120,2011,digavis,biblioteket,1,1,0,1
